Question Number,Question,Correct Predictions,Total Papers,Accuracy
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,94.0,112.0,0.8392857142857143
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,98.0,112.0,0.875
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",96.0,112.0,0.8571428571428571
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who received an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,98.0,112.0,0.875
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?",98.0,112.0,0.875
6,Does a conservative fluid management strategy result in a significant difference in mortality as the primary outcome?,98.0,112.0,0.875
7,Does mechanical ventilation with a lower tidal volume result in decreased mortality with acute lung injury and acute respiratory distress syndrome?,94.0,112.0,0.8392857142857143
8,Does mechanical ventilation with a lower tidal volume result increased ventilator free days with patients with acute lung injury and acute respiratory distress syndrome?,92.0,112.0,0.8214285714285714
9,Prone positioning sessions in patients with severe ARDS significantly decreased mortality?,97.0,112.0,0.8660714285714286
10,Does early application of high frequency oscillatory ventilation compared with ventilation strategy of low tidal volume decrease mortality?,101.0,112.0,0.9017857142857143
11,"Patients with septic shock undergoing mechanical ventilation, did continuous infusion of hydrocortisone result in lower 90-day mortality?",99.0,112.0,0.8839285714285714
12,Does a 7-day treatment with low doses of steroids significantly reduce the risk of death in patients with septic shock and relative adrenal insufficiency without increasing adverse events?,98.0,112.0,0.875
13,Do patients who receive hydrocortisone plus fludrocortisone have a lower 90-day all cause mortality than patients given a placebo?,100.0,112.0,0.8928571428571429
14,Does steroids hasten the reversal of shock in patients whom had septic shock reversed?,96.0,112.0,0.8571428571428571
15,Does early administration of acetaminophen to treat fever affect the number of ICU-free days,102.0,112.0,0.9107142857142857
16,Does treatment with activated C protein significantly reduce mortality in patients with severe sepsis?,98.0,112.0,0.875
17,Albumin replacement in addition to crystalloids compared with crystalloids alone did not improve the rate of survival,98.0,112.0,0.875
18,Does the use albumin for fluid resuscitation result in similar outcome at 28 days with that of normal saline?,100.0,112.0,0.8928571428571429
19,Did hemodynamic management according to a strict early goal directed therapy protocol led to an improvement in outcome?,100.0,112.0,0.8928571428571429
20,Does treatment with DrotAA (activated) significantly reduce mortality at 28 days or 90 days compared with placebo in patients with septic shock?,99.0,112.0,0.8839285714285714
21,"In patients with coma after out-of-hospital cardiac arrest, did targeted hypothermia lead to a lower incidence of death by 6 months than targeted normothermia?",95.0,112.0,0.8482142857142857
22,"In unconscious survivors of out-of-hospital cardiac arrest of presumed cardiac cause, does hypothermia at a targeted temperature of 33°C provide any benefit compared with a targeted temperature of 36°C?",97.0,112.0,0.8660714285714286
23,"Following patients that have been fully resuscitated after cardiac arrest secondary to a ventricular fibrillation, did therapeutic mild hypothermia increase the rate of a favorable neurologic outcome and reduce mortality?",96.0,112.0,0.8571428571428571
24,Does treatment with haloperidol lead to a significantly greater number of days alive and out of the hospital at 90 days than placebo when encountering patients in ICU with delirium?,99.0,112.0,0.8839285714285714
25,"Does the use of ziprasidone as compared with placebo in patients with acute respiratory failure, shock, hypoactive or hyperactive delirium in the ICU alter the duration of delirium?",100.0,112.0,0.8928571428571429
26,Is there more adverse events in ICU patients who recieved early dexmedetomidine?,95.0,112.0,0.8482142857142857
27,"Among patients undergoing mechanical ventilation in the ICU, does early dexmedetomidine for sedation result in a mortality rate similar to that of the usual-care group?",98.0,112.0,0.875
28,Was there a difference between dexmedetomidine and midazolam in time at targeted sedation level in mechanically ventilated ICU patients?,99.0,112.0,0.8839285714285714
29,Is bradycardia an adverse effect in critically ill patients receiving dexmedetomidine?,96.0,112.0,0.8571428571428571
30,"At comparable sedation levels, did dexmedetomidine-treated patients spend less time on the ventilator, experience less delirium, and develop less tachycardia and hypertension?",96.0,112.0,0.8571428571428571
31,Does routine use of corticosteroids for persistent ARDS over prolonged periods have increased survival rate? ,97.0,112.0,0.8660714285714286
32,Is there a decrease in mortality rate among patients with ARDS with an early exposure to conservative oxygenation strategy?,95.0,112.0,0.8482142857142857
33,Is there a better neurologic outcome between targeted mild hypercapnia than targeted normocapnia in patients with a coma who were resuscitated following out of hospital cardiac arrest??,102.0,112.0,0.9107142857142857
34,Does targeting a mean arterial blood pressure of 63 or 77 mm Hg in patients resuscitated from cardiac arrest reduce mortality?,102.0,112.0,0.9107142857142857
35,"Does targeting a restrictive or liberal oxygenation strategy in comatose patients after resuscitation for cardiac arrest result in a similar incidence of death, severe disability, or coma?",98.0,112.0,0.875
36,Is there a difference in outcomes in patients who receive dexmedetomidine than propofol among mechanically ventilated adults with sepsis?,100.0,112.0,0.8928571428571429
